Date,Season,Opp,Type,Rslt,Tm,Opp_score,eFG%,TOV%,DRB%,FT%,Opp_eFG%,Opp_TOV%,Opp_DRB%,Opp_FT%,Source_File
2025-03-08,2024-2025,Kansas,REG (Conf),L,76.0,83.0,0.527,8.0,21.0,0.857,0.552,4.0,20.0,0.643,arizona.csv
2025-03-13,2024-2025,Kansas,CTOURN,W,88.0,77.0,0.603,10.0,24.0,0.857,0.531,13.0,22.0,0.692,arizona.csv
2025-03-14,2024-2025,Texas Tech,CTOURN,W,86.0,80.0,0.574,9.0,25.0,0.762,0.5,7.0,19.0,0.633,arizona.csv
2025-03-15,2024-2025,Houston,CTOURN,L,64.0,72.0,0.482,11.0,27.0,0.75,0.5,8.0,22.0,0.917,arizona.csv
2025-03-21,2024-2025,Akron,ROUND-64,W,93.0,65.0,0.652,15.0,35.0,0.3,0.389,7.0,16.0,0.8,arizona.csv
2025-03-23,2024-2025,Oregon,ROUND-32,W,87.0,83.0,0.53,9.0,31.0,0.708,0.522,9.0,24.0,0.545,arizona.csv
2025-03-27,2024-2025,Duke,ROUND-16,L,93.0,100.0,0.545,6.0,13.0,0.913,0.7,9.0,21.0,0.852,arizona.csv
2023-11-06,2023-2024,Minnesota,REG (Non-Conf),L,60.0,80.0,0.357,13.0,15.0,0.714,0.576,17.0,26.0,0.771,bethune-cookman.csv
2023-11-10,2023-2024,Trinity (FL),REG (Non-Conf),W,113.0,46.0,0.589,13.0,36.0,0.769,0.262,31.0,20.0,0.765,bethune-cookman.csv
2023-11-15,2023-2024,Trinity Baptist,REG (Non-Conf),W,104.0,63.0,0.553,12.0,30.0,0.588,0.459,29.0,29.0,0.7,bethune-cookman.csv
2023-11-20,2023-2024,Charleston Southern,REG (Non-Conf),W,79.0,73.0,0.525,9.0,19.0,0.714,0.6,17.0,17.0,0.684,bethune-cookman.csv
2023-11-24,2023-2024,Lamar,REG (Non-Conf),L,65.0,83.0,0.424,17.0,19.0,0.652,0.596,21.0,28.0,0.677,bethune-cookman.csv
2023-11-25,2023-2024,Delaware State,REG (Non-Conf),L,64.0,72.0,0.5,16.0,19.0,0.667,0.528,15.0,25.0,0.762,bethune-cookman.csv
2023-11-26,2023-2024,Longwood,REG (Non-Conf),L,48.0,69.0,0.356,21.0,21.0,0.667,0.48,17.0,28.0,0.579,bethune-cookman.csv
2023-12-01,2023-2024,Incarnate Word,REG (Non-Conf),W,96.0,82.0,0.5,12.0,24.0,0.838,0.5,24.0,27.0,0.879,bethune-cookman.csv
2023-12-09,2023-2024,South Carolina State,REG (Non-Conf),W,80.0,71.0,0.485,8.0,21.0,0.714,0.367,18.0,28.0,0.706,bethune-cookman.csv
2023-12-12,2023-2024,Johnson (FL),REG (Non-Conf),,,,,,,,,,,,bethune-cookman.csv
2023-12-16,2023-2024,Purdue Fort Wayne,REG (Non-Conf),L,63.0,86.0,0.417,17.0,25.0,0.643,0.563,7.0,25.0,0.583,bethune-cookman.csv
2023-12-20,2023-2024,Chicago State,REG (Non-Conf),L,54.0,55.0,0.441,18.0,18.0,0.818,0.42,19.0,16.0,0.684,bethune-cookman.csv
2023-12-29,2023-2024,UCF,REG (Non-Conf),L,54.0,98.0,0.339,24.0,16.0,0.933,0.537,18.0,27.0,0.788,bethune-cookman.csv
2023-12-31,2023-2024,Mississippi State,REG (Non-Conf),L,62.0,85.0,0.453,15.0,20.0,0.4,0.647,16.0,26.0,0.792,bethune-cookman.csv
2024-01-06,2023-2024,Florida A&M,REG (Conf),W,98.0,86.0,0.646,10.0,22.0,0.636,0.59,15.0,23.0,0.667,bethune-cookman.csv
2024-01-13,2023-2024,Grambling State,REG (Conf),L,69.0,79.0,0.425,16.0,19.0,0.818,0.598,11.0,19.0,0.828,bethune-cookman.csv
2024-01-15,2023-2024,Southern,REG (Conf),W,83.0,81.0,0.519,15.0,25.0,0.778,0.5,7.0,16.0,0.679,bethune-cookman.csv
2024-01-20,2023-2024,Mississippi Valley State,REG (Conf),W,80.0,64.0,0.511,16.0,22.0,0.773,0.336,18.0,18.0,0.771,bethune-cookman.csv
2024-01-22,2023-2024,ArkansasâPine Bluff,REG (Conf),L,72.0,76.0,0.475,12.0,21.0,0.696,0.578,14.0,23.0,0.85,bethune-cookman.csv
2024-01-27,2023-2024,Jackson State,REG (Conf),W,82.0,71.0,0.581,17.0,31.0,0.667,0.435,15.0,22.0,0.55,bethune-cookman.csv
2024-01-29,2023-2024,Alcorn State,REG (Conf),L,67.0,70.0,0.466,9.0,14.0,0.867,0.5,14.0,26.0,0.864,bethune-cookman.csv
2024-02-03,2023-2024,Alabama State,REG (Conf),W,79.0,68.0,0.528,18.0,34.0,0.885,0.364,14.0,22.0,0.625,bethune-cookman.csv
2024-02-05,2023-2024,Alabama A&M,REG (Conf),L,68.0,72.0,0.481,12.0,18.0,0.81,0.5,16.0,24.0,0.741,bethune-cookman.csv
2024-02-10,2023-2024,Prairie View A&M,REG (Conf),W,84.0,78.0,0.58,15.0,18.0,0.826,0.5,12.0,14.0,0.81,bethune-cookman.csv
2024-02-12,2023-2024,Texas Southern,REG (Conf),W,83.0,79.0,0.587,11.0,17.0,0.71,0.55,15.0,23.0,0.727,bethune-cookman.csv
2024-02-17,2023-2024,Alcorn State,REG (Conf),L,54.0,69.0,0.427,10.0,10.0,0.65,0.596,17.0,29.0,0.765,bethune-cookman.csv
2024-02-19,2023-2024,Jackson State,REG (Conf),L,60.0,61.0,0.462,13.0,20.0,0.923,0.5,10.0,20.0,0.654,bethune-cookman.csv
2024-02-24,2023-2024,Alabama A&M,REG (Conf),W,63.0,61.0,0.389,11.0,17.0,0.84,0.548,19.0,23.0,0.652,bethune-cookman.csv
2024-02-26,2023-2024,Alabama State,REG (Conf),W,90.0,84.0,0.479,7.0,29.0,0.833,0.43,10.0,24.0,0.767,bethune-cookman.csv
2024-03-02,2023-2024,Southern,REG (Conf),W,67.0,61.0,0.451,12.0,19.0,0.833,0.48,14.0,21.0,0.56,bethune-cookman.csv
2024-03-04,2023-2024,Grambling State,REG (Conf),L,60.0,69.0,0.433,15.0,22.0,0.727,0.472,13.0,27.0,0.704,bethune-cookman.csv
2024-03-09,2023-2024,Florida A&M,REG (Conf),W,67.0,66.0,0.483,17.0,24.0,0.55,0.452,19.0,23.0,0.769,bethune-cookman.csv
2024-03-14,2023-2024,Southern,CTOURN,W,73.0,58.0,0.553,9.0,24.0,0.808,0.367,13.0,19.0,0.71,bethune-cookman.csv
2024-03-15,2023-2024,Grambling State,CTOURN,L,53.0,65.0,0.328,11.0,26.0,0.938,0.49,10.0,27.0,0.581,bethune-cookman.csv
2024-03-23,2023-2024,Arkansas State,CBI,L,85.0,86.0,0.521,6.0,19.0,0.714,0.553,15.0,26.0,0.622,bethune-cookman.csv
2024-11-05,2024-2025,Texas Tech,REG (Non-Conf),L,61.0,94.0,0.467,9.0,14.0,0.5,0.698,11.0,27.0,0.6,bethune-cookman.csv
2024-11-09,2024-2025,Nebraska,REG (Non-Conf),L,58.0,63.0,0.427,22.0,26.0,0.714,0.382,18.0,27.0,0.808,bethune-cookman.csv
2024-11-12,2024-2025,Purdue Fort Wayne,REG (Non-Conf),L,69.0,91.0,0.536,19.0,22.0,0.714,0.508,8.0,23.0,0.839,bethune-cookman.csv
2024-11-16,2024-2025,South Carolina State,REG (Non-Conf),W,75.0,62.0,0.481,11.0,28.0,0.8,0.408,15.0,21.0,0.591,bethune-cookman.csv
2024-11-19,2024-2025,Tulane,REG (Non-Conf),L,57.0,72.0,0.355,10.0,24.0,0.684,0.484,12.0,30.0,0.611,bethune-cookman.csv
2024-11-26,2024-2025,North Dakota,REG (Non-Conf),W,79.0,67.0,0.508,9.0,22.0,0.75,0.425,17.0,24.0,0.625,bethune-cookman.csv
2024-11-27,2024-2025,Gardner-Webb,REG (Non-Conf),L,64.0,79.0,0.396,8.0,19.0,0.55,0.524,14.0,30.0,0.778,bethune-cookman.csv
2024-12-01,2024-2025,Minnesota,REG (Non-Conf),L,62.0,79.0,0.558,9.0,20.0,0.444,0.566,9.0,25.0,0.833,bethune-cookman.csv
